এইতো আমি রাস্তায়!	দুঃখিত।
তারপর প্রেসিডেন্টের ক্ষমতা বাড়তে লাগলো,	তাই ধীরে ধীরে শত্রুও বাড়ছিল,
টাকাও পালা লাগতে শুরু করলো।	উনি এর কোনো কিছু হারাতে পারতেন না কিন্তু কাউকে বিশ্বাসও করা যেতো না।
অভিনন্দন, স্যার। 	দুনিয়া ভাবছিল দ্বিতীয় অবস্থানে আমরা আছি,কিন্তু না। 
আসল লোক তো ছিল অন্যকেউ।	 আমি বাদেও অন্য একজন তাকে চুষে খাচ্ছিলো।
আমরা তো ব্যস ডেলিভারি বয় ছিলাম। 	ডিরেক্টর কিম, কী মনে হয় আমেরিকানরা ওনাকে কতদিন টিকতে দিবে?
এক বছরে খেল খতম হয়ে যাবে।	উনি প্রস্তুতি নিচ্ছেন।
আস্তেধীরে পদ থেকে সরে আসবেন,	 আর আমি তাতে সাহায্য করব।
 এই বালের গপ্প বিশ্বাস করো?	দেখো এটা।
একদম গ্রিক মন্দিরের মতো।	আর লিংকন এখানে ঈশ্বরের মতো।
তারপরও ওকে গুলি খেয়ে মরতে হয়েছিল। 	গ্যু-প্যেওং।
কেন আমরা বিপ্লব ঘটিয়েছিলাম?	কেন এর জন্য নিজেদের জীবনের ঝুঁকি নিয়েছিলাম?
২০ সেপ্টেম্বর, প্রেসিডেন্সিয়াল সেফ হাউস"পার্কের বইয়ের শিরোনাম হচ্ছে	বিপ্লবের বিশ্বাসঘাতক।
তো আমি বিপ্লবে বিশ্বাসঘাতকতা করেছি?		বিপ্লব নামক যুদ্ধক্ষেত্রে,প্রেসিডেন্ট পার্ক সাহসিকতার সাথে আমাদের নেতৃত্ব দেন যেন সম্মুখভাগে পতাকা। 
কিন্তু যুদ্ধ শেষ। 	যুদ্ধক্ষেত্রে উনি রয়ে গেছেন একা।
ছিন্নভিন্ন রক্তে মাখা এক পতাকা,যে বাতাসে নাচছে উনিই পরাজয়ের প্রমাণ।	"কতগুলো জন্তু আমায় ছিড়েখুঁড়ে খাওয়ার অপেক্ষায়।
ওদের জন্য কিছুতো রেখে যেতে হবে।	সবাই আমার মরার অপেক্ষা করছে।
পার্ক কী বলেছে?	ও কি আমার মৃত্যু চায়?
না, স্যার।	ও ভুল বুঝতে পেরেছে আর নিজের কর্মকান্ডের জন্য গভীরভাবে দুঃখ প্রকাশ করেছে।
আমার খাতিরে ওকে ক্ষমা করে দিবেন।	ওর একটা বিরতি নিয়ে অপেক্ষা করা উচিত ছিল। 
প্রেসিডেন্ট সাহেব। 	"ইয়াগো" এর ব্যাপারে শুনেছেন কখনো?
সেটা আবার কী?	একটু মদ খাওয়া যাক?
অনুপাতটা খুবই গুরুত্বপূর্ণ।		 নাও।
এটা আর পুরোনো দিনের মতো নেই।	যখন আমি ৫ম ডিভিশন কমান্ডার হিসেবে নিযুক্ত হয়েছিলাম
তুমি ৩৬তম রেজিমেন্টাল কমান্ডার ছিলে		তাই না?  
জ্বি।	তখনকার সময়ে যে মদ খেতাম সেটা সেরা ছিল।
দিন ছিল সেগুলো।	ঐ দিনগুলো অসাধারণ ছিল।
"২১ সেপ্টেম্বর, ব্লু হাউস"ওটা বের করো।	ওগুলো ফেড়ে দেখো!
বইগুলো বের করে চেক করো।	আমেরিকানদের প্রতিটা চুল খুঁজে বের করো!
সোফার নিচদিকটায় ফেড়েওখানেও দেখো।	তন্নতন্ন করে খুঁজো!
